id,name,sku,category_reference,tax_group_reference,is_sold_by_weight,is_active,is_stock_product,price,cost,barcode,description,preparation_time,calories,walking_minutes_to_burn_calories,is_high_salt,image,name_localized,description_localized
97e45440-cd61-4606-a48d-ef6f12183514,"Lentil Soup",psk-012,cat-02,tx1,No,Yes,No,19,,,"Red lentil, carrot, potato, onion, leek, celery, garlic, cumin, turmeric, hot water",,177,,No,,"شوربة العدس","عدس أحمر ، جزر ، بطاطس ، بصل ، كراث ، كرفس ، ثوم ، كمون ، كركم ، ماء ساخن"
97e45440-cdaf-4e9d-add3-760f09256c2b,Molokhia,psk-013,cat-02,tx1,No,Yes,No,19,,,"Molokhia, garlic, salt, coriander, chicken stock",,64,,No,,ملوخية,"ملوخية ، ثوم ، ملح ، كزبرة ، مرق دجاج"
97e45440-d035-4f0a-aa86-c728acb631f9,"Greek Salad",psk-016,cat-03,tx1,No,Yes,No,26,,,"A traditional greek salad with cucumber, bell pepper, tomato, black olices, served wth feta cheese and vinaigrette dressing",,272,,No,,"سلطة يونانية","سلطة يونانية تقليدية مع خيار وفلفل حلو وطماطم وزيتون اسود تقدم مع جبنة الفيتا وصلصة الخل"
97e45440-d378-4d0b-b9b4-af0b1d818199,"Beans Burrito",psk-001,cat-01,tx1,No,Yes,No,20,,,"Beans, tomato, lemon, cheese, onion, salt, cumin, tortilla bread",,259,,No,,"فول بوريتو","فول ، طماطم ، ليمون ، جبن ، بصل ، ملح ، كمون ، خبز تورتيلا"
97e45440-d385-4514-af56-eaf50f2ea19c,"Egg Burger",psk-008,cat-01,tx1,No,Yes,No,30,,,"Boiled egg, slice bread, salt, peper, philadelpha cheese, slice chesse",,371,,No,,"برجر بيض","بيض مسلوق ، شريحة خبز ، ملح ، فلفل ، جبنة فيلادلفيا ، شريحة جبن"
97e45440-d39f-4684-a821-54997f5f83b3,"Caesar Salad",psk-014,cat-03,tx1,No,Yes,No,24,,,"Iceberg lettuce, brown sliced bread, parmesan cheese, chicken breast, caesar dressing",,244,,No,,"سلطة سيزر","خس ايسبرغ ، شرائح خبز أسمر ، جبنة بارميزان ، صدر دجاج ، صلصة السيزر"
97e45440-d50d-4a5e-8235-0ba5d7f14654,"Labneh & Zaatar Sandwich",psk-004,cat-01,tx1,No,Yes,No,20,,,"Low-fat labneh, thyme",,426,,No,,"سندويتش لبنة و زعتر","لبنة قليلة الدسم ، زعتر"
97e45440-d555-4134-88d1-1930855f650f,"Egg Sandwich",psk-007,cat-01,tx1,No,Yes,No,30,,,"Egg white, lettuce, tomato, cheese",,370,,No,,"ساندويتش بيض","بياض البيض ، خس ، طماطم ، جبن"
97e45440-d58b-460a-9948-eba79d31b4f5,"CIassic Chicken Burger",psk-020,cat-05,tx1,No,Yes,No,31,,,"Low calorie sauce, tomato, lettuce, low fat cheese",,353,,No,,كلاسيك,"لو كالوري صوص ، طماطم ، خس ، جبنة قليلة الدسم"
97e45440-d675-4491-8526-0ed8b55230e2,Pancake,psk-002,cat-01,tx1,No,Yes,No,31,,,"chocolate, caramel, strawberry",,340,,No,,"بان كيك","شوكولاتة ، كراميل ، فراولة"
97e45440-d778-413f-993c-df10e45726cd,"Low Calorie Beef Burger",psk-019,cat-04,tx1,No,Yes,No,44,,,"Beef bacon, tomato, lettuce, pickels, low calorie suace",,413,,No,,لوكالوري,"لحم مدخن ، طماطم ، خس ، مخلل ، لو كالوري صوص"
97e45440-da28-46c8-88f8-542feb57fcec,"Egg Chicken Milanese Sandwich",psk-005,cat-01,tx1,No,Yes,No,30,,,"Chicken, egg white, parmesan, parsley",,661,,No,,"سندويتش بيض دجاج ميلانيز","دجاج ، بياض بيض ، بارميزان ، بقدونس"
97e45440-da67-494c-8137-1fb5055e8dfd,"French Toast",psk-010,cat-01,tx1,No,Yes,No,30,,,"Toast bread, milk, egg white, cinnamon, stevia, crushed cornflakes, biscuits, pistachio, coconut, protein powder, maple syrup, vanilla",,469,,No,,"فرنش توست","خبز توست ، حليب ، بياض بيض ، قرفة ، ستيفيا ، كورن فليكس مطحون ، بسكويت ، فستق ، جوز الهند ، مسحوق البروتين ، شراب القيقب ، فانيليا"
97e45440-dab1-420d-9244-81de98453acd,"Shakshouka Egg",psk-009,cat-01,tx1,No,Yes,No,26,,,"Egg white, tomato, parsley, onion, pepper, salt",,335,,No,,"بيض شكشوكة","بياض بيض ، طماطم ، بقدونس ، بصل ، فلفل ، ملح"
97e45440-db4f-411d-ac05-524611d528b9,"Broccoli Soup",psk-011,cat-02,tx1,No,Yes,No,19,,,"Broccoli, onion, leek, celery, salt, cooked creem, chicken stook",,71,,No,,"شوربة بروكلي","بروكلي ، بصل ، كراث ، كرفس ، ملح ، كريم مطبوخ ، ستوك دجاج"
97e45440-dd18-48d9-b580-ebe330d26edd,"Halloumi Sandwich",psk-003,cat-01,tx1,No,Yes,No,33,,,"Halloumi, lettuce, tomato, wrap with tortilla bread",,453,,No,,"ساندوتش حلوم","حلوم ، خس ، طماطم ، خبز التورتيلا"
97e45440-df77-4308-ac3f-edbd059eb057,"Beetroot Salad",psk-017,cat-03,tx1,No,Yes,No,24,,,"Baby spinach, arugula, red beans, apple, avocado, beetroot with balsamic dressing",,266,,No,,"سلطة الشمندر","سبانخ ، جرجير ، فاصوليا حمراء ، تفاح ، أفوكادو ، شمندر مع صلصة البلسميك"
97e45440-e857-4382-87cb-3a19812b46f2,"Classic Beef Burger",psk-018,cat-04,tx1,No,Yes,No,40,,,"Low calorie sauce, tomato, lettuce, low fat cheese",,403,,No,,كلاسيك,"لو كالوري صوص ، طماطم ، خس ، جبنة قليلة الدسم"
97e45440-f3c3-4ea2-ba95-e8ecff1ee392,"Balaleet w Honey",psk-006,cat-01,tx1,No,Yes,No,35,,,"Vermicelli pasta, cardamom saffron, stevia sugar, pine, egg white, honey",,341,,No,,"بلاليط مع عسل","مكرونة فارمسيلي ، زعفران الهيل، سكر ستيفيا ، صنوبر ، بياض بيض ، عسل"
97e45441-1fa7-4328-806c-76eb9d878c34,"Arabic Salad",psk-015,cat-03,tx1,No,Yes,No,17,,,"Cucumber, tomato, lettuce, lemon",,19,,No,,"سلطة عربية","خيار ، طماطم ، خس ، ليمون"
